MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
207.03,202.83,202.2,83,77,76,255,221,198,35.51,23.15,25.6,203.23,22.61,77,208,156.91,7.62,83.8,135.16,8.86,9.9,213.33,6.44,83.92,0,2.5,100,6.41,6.82,6.47,6.23,H
55.17,88.99,98.4,55,92,104,53,97,108,21.25,24.85,27.06,87.54,22.3,91,101,188.28,47.47,39.92,47.05,15.75,10.44,194.18,48.24,41.18,192,50,42.35,6.44,6.22,6.49,6.63,N
113.89,89.75,58.17,118,89,59,129,91,56,18.37,20.09,8.79,81.85,7.71,84,84,31.43,49.27,46.11,12.79,9.15,7.59,30,49.18,46.27,30,50,50.59,4.82,5.63,5.11,4.65,H
29.56,85.05,70.19,28,76,61,0,72,45,19.26,42.9,36.78,72.77,33.84,66,39,165.07,63.65,33.54,15.96,18.32,16.85,167.03,61.33,30.2,180,100,28.24,6.95,6.06,7.16,7.04,N
12.41,37.55,27.75,10,30,24,0,23,20,12.13,31.72,19.71,30.3,21.23,26,16,160.55,68.58,14.85,28.63,23.62,12.36,162,67.91,12.16,160,100,9.02,6.19,4.95,6.46,6.09,N
8.68,20.68,20.22,7,15,19,0,8,1,7.04,30.83,13.62,16.71,11.01,15,1,185.91,61.9,9.87,54.65,23.87,12.22,198.46,61.22,7.45,180,100,6.27,5.35,4.56,5.48,5.63,N
40.33,59.28,46.88,36,52,42,24,70,31,22.78,35.78,26.1,51.53,26.24,46,34,141.02,30.05,23.26,23.55,16.57,14.02,144,26.73,20.39,154.29,33.33,27.45,6.59,6.41,6.73,6.6,N
14.77,35.72,25.3,12,26,21,0,18,12,12.15,34.97,17.08,27.5,17.94,22,15,159.98,56.66,14.01,12.53,19.94,13.71,162.86,52.94,10.2,160,100,7.06,5.92,5.3,6.19,5.87,N
34.13,68.29,59.8,24,59,53,20,58,53,30.53,36.44,28.16,60.81,28.76,53,52,169.4,53.46,26.84,13.08,20.47,14.29,171.11,55.88,23.14,171.43,50,22.75,6.24,5.86,6.4,6.35,N
45.12,90.73,100.12,46,93,105,48,105,104,18.52,31.17,30.37,87.5,25.12,91,101,192.03,56.35,40.81,29.87,17.25,12.25,193.68,56.36,41.57,192,100,45.88,6.63,6.2,6.77,6.85,N
93.43,100.09,105.83,97,100,111,103,99,116,23.16,27.4,22.4,99.59,18.34,103,102,235.83,16.16,43.95,46.45,14.4,9.86,234.55,13.6,44.31,240,25,45.49,6.15,6.36,6.27,6.17,H
96.23,97.23,89.85,104,102,100,105,105,104,37.57,36.02,31.99,94.45,31.66,102,103,102.78,13.8,40.12,112.2,15.5,15.05,37.5,9.3,41.57,0,0,41.18,6.72,7.03,6.86,6.41,H
52.75,77.22,78.64,54,76,80,64,88,87,15.21,26.6,21.01,73.37,16.85,75,77,190.89,34.53,32.59,14.34,11.66,10.85,192,32.32,32.16,192,33.33,34.12,6.08,5.88,6.18,6.24,N
21.73,98.74,213.16,22,92,102,22,67,255,5.29,30.92,44.68,123.12,25.19,125,91,215.78,89.69,85.06,13.21,2.91,14.4,219.375,89.68,91.37,220.99,87.13,100,6.28,4.31,6.32,6.03,I
60.3,75.21,51.13,60,69,49,71,85,61,23.15,39.07,25.59,63.57,26.94,61,43,81.87,32.09,30.04,31.28,17.62,14.88,88,27.83,27.45,60,33.33,33.33,6.72,6.51,6.95,6.64,N
30.89,81.06,144.7,32,80,148,33,84,158,4.27,21.16,22.79,93.35,10.06,94,102,213.96,78.69,58.05,12.29,3.91,7.54,216,78.57,58.43,217.11,77.85,61.96,5.15,3.45,5.25,5.87,H
13.55,27.42,21.62,11,18,17,11,17,15,9.3,33.3,15.55,21.17,13.73,17,16,170.02,41.63,11.18,22.11,18.51,13.28,170,37.5,7.45,168,33.33,6.67,5.03,4.78,5.22,5.24,N
15.92,58.39,49.77,13,49,42,0,29,30,14.99,38.79,30.52,48.44,28.05,42,33,171.85,73.3,23.05,15.11,19.44,15.32,171.94,73.02,19.22,170,100,15.69,6.63,5.33,6.84,6.74,N
48.73,105.93,203.38,51,107,245,0,97,255,31.72,29.76,67.64,127.8,30.27,137,149,215.66,71.34,81.67,22.93,22.5,23.98,221.81,74.5,96.08,225,100,100,6.57,6.42,6.47,5.84,I
124.76,131.36,130.59,126,3,5,126,131,137,13.18,12.92,13.59,130.14,7.56,3,130,167.68,5.86,52.33,59.95,9.33,5.05,170,3.91,52.55,168,0,53.33,4.9,5.03,5.04,5.07,H
38.61,54.56,94.37,39,55,95,38,56,94,5.1,4.75,5.42,64.67,4.64,65,65,222.85,59.18,37.01,2.66,4.13,2.13,223,59.3,37.25,221.79,57.14,36.86,4.26,4.4,4.29,4.48,H
55.43,106.43,176.58,49,113,55,0,116,255,35.45,54.34,57.46,120.71,47.72,0.5,142,215.77,69.74,70.57,15.65,17.67,21.36,217.38,75.14,72.16,214.91,100,100,7.47,6.93,7.58,7.31,I
5.02,99.36,216.25,3,98,111,0,44,255,5.99,39.41,44.73,122.77,30.95,1,72,213.35,97.86,86.27,13.44,2.43,14.35,216.38,98.45,94.12,223.03,100,100,6.73,3.81,7.06,6.13,I
18.77,115.63,238.88,17,111,124,16,115,255,11.1,30.32,38.02,142.15,19.46,15,141,213.02,92.13,95.38,13.77,4.84,8.94,215.85,93.09,98.82,213.9,93.33,100,6.16,4.75,6.57,4.45,I
26.09,64.93,50.33,24,58,48,0,47,44,17.48,35.35,23.42,54.07,23.52,51,47,161.7,59.94,25.56,15.95,19.81,13.8,162.75,57.62,23.14,160,100,20.78,6.51,5.93,6.76,6.51,N
98.35,126.53,153.38,100,126,26,106,127,157,10.41,11.89,13.08,131.31,5.74,4,136,210.46,36.48,60.89,9.12,5.91,3.53,211.53,35.9,60.78,211.53,33.33,61.57,4.47,4.79,4.62,4.42,H
100.78,113.73,119.94,106,116,125,112,129,140,24.38,24.38,23.78,113.02,19.39,117,127,208.82,18.61,48.86,42.97,14.6,9.12,213.53,15.71,49.41,210,0,54.9,5.96,6.31,6.03,6.04,H
190.79,192.23,188.53,200,197,192,221,222,206,38.18,27.88,25.5,191.63,23.52,194,214,135.48,9.97,78.92,108.97,11.89,8.98,60,6.52,79.61,60,21.74,86.67,6.12,6.64,6.37,5.83,H
71.05,112.83,144.16,72,112,17,72,113,145,8.31,13.86,17.69,117.19,8.49,117,115,206.04,50.72,57.26,8.86,7.24,6.18,207.27,50.64,56.86,210,50,56.86,5.04,4.67,5.11,5.75,I
67.31,107.91,87.16,66,108,93,97,110,96,30.86,34.17,39.66,96.17,29.79,99,105,127.14,48.6,42.88,51.86,22.39,13.43,154.29,50,43.14,60,12.73,43.14,6.93,6.94,7,7.24,N
102.38,84.19,59.18,99,81,57,94,76,59,18.7,20.97,14.64,77.68,10.43,76,74,31.76,42.08,41.53,27.89,16.9,8.35,29.19,43.01,39.22,30,0,36.86,5.28,5.76,5.48,5.7,H
47.35,46.14,62.98,48,43,62,50,44,61,6.97,24.65,11.59,49.49,4.44,50,53,254.61,34.46,26.36,25.51,11.8,9.01,255.65,32.69,24.71,260,33.33,23.92,4.14,4.26,4.12,5.19,H
23.82,54.22,44.4,22,53,45,0,63,56,18.72,36.8,24.88,45.48,23.32,47,59,163.61,55.58,21.4,26.93,21.64,14.46,168,54.55,20.78,180,100,24.71,6.49,5.88,6.71,6.53,N
16.05,51.14,64.76,13,46,62,13,45,56,14.15,29.47,28.45,50.54,24.69,47,44,198.91,77.3,26.09,9.47,10.77,12.21,199.29,77.5,24.71,200,100,21.96,6.48,5.21,6.53,6.77,N
